filename,words
12340001004.jpg,가끔
12340001005.jpg,가난
12340001008.jpg,가득
12340001009.jpg,가령
12340001010.jpg,가로
12340001011.jpg,가루
12340001013.jpg,가뭄
12340001014.jpg,가방
12340001016.jpg,가상
12340001018.jpg,가스
12340001021.jpg,가위
12340001022.jpg,가을
12340001023.jpg,가입
12340001024.jpg,가장
12340001025.jpg,가정
12340001026.jpg,가족
12340001028.jpg,가지
12340001029.jpg,가짜
12340001030.jpg,가치
12340001031.jpg,각각
12340001032.jpg,각국
12340001033.jpg,각기
12340001035.jpg,각자
12340001036.jpg,각종
12340001037.jpg,간격
12340001038.jpg,간부
12340001040.jpg,간식
12340001041.jpg,간장
12340001042.jpg,간접
12340001043.jpg,간판
12340001045.jpg,간혹
12340001049.jpg,갈색
12340001050.jpg,갈증
12340001051.jpg,감각
12340001052.jpg,감기
12340001053.jpg,감다
12340001054.jpg,감독
12340001055.jpg,감동
12340001057.jpg,감상
12340001058.jpg,감소
12340001059.jpg,감옥
12340001060.jpg,감자
12340001062.jpg,감히
12340001063.jpg,강남
12340001064.jpg,강당
12340001065.jpg,강도
12340001066.jpg,강물
12340001067.jpg,강변
12340001069.jpg,강사
12340001070.jpg,강의
12340002001.jpg,강제
12340002003.jpg,갖다
12340002005.jpg,같이
12340002006.jpg,갚다
12340002007.jpg,개국
12340002008.jpg,개다
12340002009.jpg,개미
12340002010.jpg,개방
12340002011.jpg,개별
12340002012.jpg,개선
12340002015.jpg,개인
12340002016.jpg,거기
12340002017.jpg,거듭
12340002018.jpg,거리
12340002019.jpg,거실
12340002020.jpg,거액
12340002022.jpg,거의
12340002023.jpg,거짓
12340002024.jpg,거품
12340002025.jpg,걱정
12340002026.jpg,건강
12340002028.jpg,건물
12340002029.jpg,건설
12340002030.jpg,건조
12340002031.jpg,건축
12340002032.jpg,걷기
12340002033.jpg,걷다
12340002036.jpg,검다
12340002037.jpg,검사
12340002038.jpg,검토
12340002040.jpg,겨우
12340002041.jpg,겨울
12340002042.jpg,겨자
12340002044.jpg,견해
12340002045.jpg,결과
12340002046.jpg,결국
12340002047.jpg,결론
12340002048.jpg,결석
12340002049.jpg,결승
12340002050.jpg,결심
12340002051.jpg,결정
12340002052.jpg,결코
12340002053.jpg,결혼
12340002054.jpg,경계
12340002055.jpg,경고
12340002056.jpg,경기
12340002057.jpg,경력
12340002059.jpg,경영
12340002060.jpg,경우
12340002061.jpg,경쟁
12340002062.jpg,경제
12340002063.jpg,경주
12340002064.jpg,경찰
12340002065.jpg,경치
12340002067.jpg,경험
12340002068.jpg,계곡
12340002069.jpg,계단
12340002070.jpg,계란
12340003001.jpg,계산
12340003002.jpg,계속
12340003003.jpg,계약
12340003004.jpg,계절
12340003006.jpg,계층
12340003007.jpg,계획
12340003008.jpg,고개
12340003010.jpg,고교
12340003011.jpg,고궁
12340003012.jpg,고급
12340003013.jpg,고기
12340003014.jpg,고려
12340003015.jpg,고모
12340003016.jpg,고민
12340003017.jpg,고생
12340003018.jpg,고속
12340003019.jpg,고작
12340003020.jpg,고장
12340003021.jpg,고전
12340003022.jpg,고집
12340003023.jpg,고추
12340003025.jpg,고함
12340003026.jpg,고향
12340003027.jpg,곡식
12340003028.jpg,곧다
12340003029.jpg,곧잘
12340003030.jpg,곧장
12340003031.jpg,골목
12340003032.jpg,골치
12340003033.jpg,골프
12340003035.jpg,곳곳
12340003036.jpg,공간
12340003037.jpg,공개
12340003038.jpg,공격
12340003039.jpg,공공
12340003040.jpg,공군
12340003041.jpg,공급
12340003042.jpg,공기
12340003043.jpg,공동
12340003044.jpg,공부
12340003045.jpg,공사
12340003046.jpg,공식
12340003047.jpg,공업
12340003048.jpg,공연
12340003049.jpg,공원
12340003050.jpg,공장
12340003051.jpg,공주
12340003053.jpg,공짜
12340003055.jpg,공통
12340003056.jpg,공포
12340003058.jpg,공해
12340003059.jpg,과거
12340003060.jpg,과목
12340003061.jpg,과연
12340003062.jpg,과외
12340003064.jpg,과자
12340003065.jpg,과장
12340003066.jpg,과정
12340003067.jpg,과제
12340003069.jpg,관객
12340003070.jpg,관계
12340004002.jpg,관념
12340004004.jpg,관련
12340004005.jpg,관리
12340004006.jpg,관습
12340004007.jpg,관심
12340004008.jpg,관점
12340004009.jpg,관찰
12340004010.jpg,광경
12340004011.jpg,광고
12340004012.jpg,광장
12340004013.jpg,광주
12340004014.jpg,괜히
12340004016.jpg,교대
12340004019.jpg,교복
12340004020.jpg,교사
12340004021.jpg,교수
12340004022.jpg,교시
12340004023.jpg,교실
12340004024.jpg,교양
12340004025.jpg,교외
12340004026.jpg,교육
12340004027.jpg,교장
12340004028.jpg,교재
12340004029.jpg,교직
12340004030.jpg,교체
12340004032.jpg,교포
12340004033.jpg,교환
12340004034.jpg,교회
12340004036.jpg,구경
12340004037.jpg,구두
12340004038.jpg,구름
12340004039.jpg,구멍
12340004041.jpg,구분
12340004042.jpg,구석
12340004043.jpg,구성
12340004044.jpg,구속
12340004045.jpg,구십
12340004046.jpg,구역
12340004047.jpg,구월
12340004049.jpg,구조
12340004050.jpg,구청
12340004051.jpg,국가
12340004053.jpg,국내
12340004054.jpg,국립
12340004055.jpg,국물
12340004056.jpg,국민
12340004057.jpg,국사
12340004058.jpg,국산
12340004059.jpg,국수
12340004061.jpg,국왕
12340004062.jpg,국적
12340004063.jpg,국제
12340004064.jpg,국회
12340004065.jpg,군대
12340004066.jpg,군데
12340004067.jpg,군사
12340004068.jpg,군인
12340004069.jpg,굳다
12340005001.jpg,굵다
12340005002.jpg,굶다
12340005003.jpg,굽다
12340005004.jpg,권리
12340005005.jpg,권위
12340005006.jpg,권투
12340005007.jpg,귀가
12340005008.jpg,귀국
12340005009.jpg,귀신
12340005010.jpg,귓속
12340005011.jpg,규모
12340005012.jpg,규정
12340005013.jpg,규칙
12340005014.jpg,균형
12340005015.jpg,그간
12340005017.jpg,그것
12340005018.jpg,그곳
12340005019.jpg,그날
12340005020.jpg,그냥
12340005021.jpg,그녀
12340005022.jpg,그놈
12340005023.jpg,그늘
12340005024.jpg,그대
12340005025.jpg,그때
12340005026.jpg,그래
12340005027.jpg,그램
12340005028.jpg,그런
12340005029.jpg,그럼
12340005030.jpg,그루
12340005032.jpg,그릇
12340005033.jpg,그리
12340005034.jpg,그림
12340005035.jpg,그만
12340005036.jpg,그분
12340005039.jpg,그전
12340005040.jpg,그중
12340005041.jpg,그쪽
12340005042.jpg,그해
12340005043.jpg,극복
12340005044.jpg,극장
12340005045.jpg,극히
12340005047.jpg,근교
12340005048.jpg,근데
12340005049.jpg,근래
12340005050.jpg,근로
12340005053.jpg,근원
12340005054.jpg,근육
12340005055.jpg,근처
12340005056.jpg,글쎄
12340005057.jpg,글씨
12340005058.jpg,글자
12340005059.jpg,긁다
12340005060.jpg,금고
12340005061.jpg,금년
12340005062.jpg,금방
12340005064.jpg,금액
12340005065.jpg,금연
12340005066.jpg,금지
12340005069.jpg,기간
12340005070.jpg,기계
12340006001.jpg,기관
12340006002.jpg,기구
12340006003.jpg,기기
12340006004.jpg,기념
12340006005.jpg,기능
12340006006.jpg,기다
12340006007.jpg,기대
12340006008.jpg,기도
12340006009.jpg,기둥
12340006010.jpg,기록
12340006011.jpg,기름
12340006012.jpg,기법
12340006013.jpg,기본
12340006015.jpg,기쁨
12340006016.jpg,기사
12340006017.jpg,기성
12340006019.jpg,기억
12340006020.jpg,기업
12340006021.jpg,기여
12340006022.jpg,기온
12340006023.jpg,기운
12340006024.jpg,기원
12340006025.jpg,기자
12340006026.jpg,기적
12340006027.jpg,기준
12340006028.jpg,기차
12340006029.jpg,기초
12340006031.jpg,기타
12340006032.jpg,기호
12340006033.jpg,기혼
12340006037.jpg,긴급
12340006038.jpg,긴장
12340006039.jpg,길가
12340006041.jpg,길이
12340006042.jpg,김밥
12340006043.jpg,김치
12340006044.jpg,깊다
12340006045.jpg,깊이
12340006046.jpg,까다
12340006047.jpg,까닭
12340006048.jpg,까치
12340006050.jpg,깔다
12340006051.jpg,깜빡
12340006052.jpg,깜짝
12340006054.jpg,깨다
12340006056.jpg,껍질
12340006058.jpg,꼬마
12340006059.jpg,꼼짝
12340006060.jpg,꽂다
12340006062.jpg,꽃잎
12340006063.jpg,꾸다
12340006064.jpg,꾸중
12340006065.jpg,꿈속
12340006066.jpg,끄다
12340006067.jpg,끊다
12340006069.jpg,끓다
12340006070.jpg,끝내
12340007001.jpg,끼다
12340007002.jpg,나다
12340007003.jpg,나라
12340007005.jpg,나무
12340007006.jpg,나물
12340007007.jpg,나비
12340007008.jpg,나이
12340007009.jpg,나중
12340007010.jpg,나흘
12340007011.jpg,낙엽
12340007012.jpg,낚시
12340007013.jpg,난리
12340007014.jpg,난방
12340007015.jpg,날개
12340007016.jpg,날다
12340007017.jpg,날씨
12340007018.jpg,날짜
12340007019.jpg,낡다
12340007020.jpg,남녀
12340007021.jpg,남다
12340007022.jpg,남매
12340007023.jpg,남미
12340007024.jpg,남부
12340007026.jpg,남산
12340007027.jpg,남성
12340007028.jpg,남자
12340007029.jpg,남쪽
12340007030.jpg,남편
12340007031.jpg,낫다
12340007032.jpg,낭비
12340007033.jpg,낮다
12340007034.jpg,낱말
12340007035.jpg,낳다
12340007036.jpg,내과
12340007038.jpg,내년
12340007039.jpg,내다
12340007040.jpg,내달
12340007041.jpg,내부
12340007042.jpg,내외
12340007043.jpg,내용
12340007044.jpg,내일
12340007045.jpg,내적
12340007046.jpg,내지
12340007049.jpg,냇물
12340007050.jpg,냉동
12340007051.jpg,냉면
12340007052.jpg,냉방
12340007054.jpg,너무
12340007055.jpg,너희
12340007056.jpg,널리
12340007057.jpg,넓다
12340007058.jpg,넘다
12340007061.jpg,녀석
12340007062.jpg,년대
12340007063.jpg,년도
12340007065.jpg,노동
12340007067.jpg,노력
12340007069.jpg,노인
12340007070.jpg,노트
12340008002.jpg,녹색
12340008004.jpg,녹차
12340008005.jpg,녹화
12340008006.jpg,논리
12340008007.jpg,논문
12340008008.jpg,논쟁
12340008009.jpg,놀다
12340008011.jpg,농구
12340008012.jpg,농담
12340008013.jpg,농민
12340008015.jpg,농사
12340008017.jpg,농장
12340008018.jpg,농촌
12340008019.jpg,높다
12340008021.jpg,놓다
12340008022.jpg,누구
12340008023.jpg,누나
12340008026.jpg,눈물
12340008028.jpg,눈빛
12340008030.jpg,눈앞
12340008031.jpg,눕다
12340008033.jpg,뉴욕
12340008035.jpg,늑대
12340008036.jpg,늘다
12340008037.jpg,늙다
12340008038.jpg,능력
12340008039.jpg,늦다
12340008040.jpg,다른
12340008041.jpg,다리
12340008042.jpg,다만
12340008043.jpg,다방
12340008044.jpg,다섯
12340008045.jpg,다소
12340008046.jpg,다수
12340008047.jpg,다시
12340008048.jpg,다음
12340008049.jpg,다툼
12340008050.jpg,다행
12340008051.jpg,닦다
12340008052.jpg,단계
12340008053.jpg,단골
12340008055.jpg,단맛
12340008058.jpg,단위
12340008059.jpg,단점
12340008060.jpg,단지
12340008062.jpg,단추
12340008063.jpg,단편
12340008064.jpg,단풍
12340008065.jpg,닫다
12340008066.jpg,달걀
12340008067.jpg,달다
12340008069.jpg,달력
12340009001.jpg,달빛
12340009002.jpg,닮다
12340009003.jpg,담다
12340009004.jpg,담당
